Session,Team,No,Space,Action,Erros,Attempts,Score
1,IRI,17,3,2,0.0,0.0,0.0
1,IRI,22,4,4,0.0,0.0,0.0
1,IRI,18,5,5,0.0,0.0,0.0
1,IRI,17,3,1,0.0,0.0,1.0
1,IRI,18,12,4,0.0,0.0,0.0
1,IRI,8,4,3,1.0,0.0,0.0
1,IRI,18,3,5,0.0,0.0,0.0
1,IRI,18,2,5,0.0,1.0,0.0
1,IRI,22,4,8,0.0,1.0,0.0
1,IRI,18,2,5,0.0,0.0,0.0
1,IRI,17,3,1,0.0,0.0,0.0
1,IRI,22,1,2,0.0,0.0,0.0
1,IRI,8,7,3,0.0,0.0,0.0
1,IRI,2,9,3,0.0,0.0,0.0
1,IRI,2,2,1,0.0,0.0,0.0
1,IRI,8,5,3,1.0,0.0,0.0
1,IRI,22,4,8,0.0,0.0,0.0
1,IRI,18,3,5,0.0,1.0,0.0
1,IRI,1,1,1,0.0,0.0,1.0
1,IRI,1,11,4,0.0,0.0,0.0
1,IRI,17,3,3,0.0,0.0,0.0
1,IRI,1,1,5,0.0,0.0,0.0
1,IRI,22,1,1,1.0,0.0,0.0
1,IRI,18,1,5,0.0,0.0,0.0
1,IRI,17,12,6,1.0,0.0,0.0
1,IRI,2,7,8,0.0,0.0,0.0
1,IRI,8,7,5,0.0,0.0,0.0
1,IRI,17,3,1,0.0,0.0,0.0
1,IRI,2,5,3,0.0,1.0,0.0
1,IRI,18,2,5,0.0,0.0,0.0
1,IRI,22,1,1,0.0,0.0,0.0
1,IRI,2,1,3,0.0,0.0,0.0
1,IRI,8,7,5,0.0,0.0,0.0
1,IRI,2,8,3,0.0,0.0,0.0
1,IRI,8,7,5,0.0,0.0,0.0
1,IRI,22,1,3,0.0,0.0,0.0
1,IRI,22,11,6,1.0,0.0,0.0
1,IRI,22,9,8,1.0,0.0,0.0
1,IRI,19,9,8,0.0,0.0,0.0
1,IRI,18,5,5,0.0,0.0,0.0
1,IRI,17,1,1,1.0,0.0,0.0
1,IRI,8,8,8,0.0,1.0,0.0
1,IRI,18,2,5,0.0,0.0,0.0
1,IRI,5,2,1,0.0,0.0,0.0
1,IRI,8,9,3,1.0,0.0,0.0
1,IRI,2,7,8,0.0,0.0,0.0
1,IRI,18,1,5,0.0,0.0,0.0
1,IRI,2,1,1,0.0,0.0,0.0
1,IRI,2,1,2,1.0,0.0,0.0
1,IRI,25,2,1,0.0,0.0,0.0
1,IRI,25,2,5,0.0,0.0,0.0
1,IRI,2,1,1,1.0,0.0,0.0
1,IRI,19,5,8,0.0,1.0,0.0
1,IRI,25,2,5,0.0,0.0,0.0
1,IRI,21,2,1,0.0,0.0,1.0
1,IRI,21,12,4,0.0,0.0,0.0
1,IRI,21,7,3,1.0,0.0,0.0
1,IRI,19,5,8,0.0,1.0,0.0
1,IRI,25,2,5,0.0,0.0,0.0
1,IRI,19,2,1,0.0,0.0,1.0
1,IRI,25,11,4,0.0,0.0,0.0
1,IRI,19,8,3,1.0,0.0,0.0
1,IRI,2,9,8,0.0,0.0,0.0
1,IRI,23,4,3,0.0,0.0,0.0
1,IRI,19,4,3,0.0,0.0,0.0
1,IRI,2,3,1,1.0,0.0,0.0
1,IRI,49,11,6,1.0,0.0,0.0
1,IRI,8,5,8,0.0,1.0,0.0
1,IRI,25,2,5,0.0,0.0,0.0
1,IRI,1,2,1,0.0,0.0,1.0
1,IRI,1,11,4,1.0,0.0,0.0
1,IRI,8,8,8,0.0,1.0,0.0
1,IRI,17,3,1,0.0,0.0,0.0
1,IRI,1,11,4,0.0,0.0,0.0
1,IRI,2,10,4,0.0,0.0,0.0
1,IRI,22,1,1,0.0,0.0,1.0
1,IRI,1,10,4,0.0,0.0,0.0
1,IRI,18,5,3,1.0,0.0,0.0
1,IRI,2,8,3,1.0,0.0,0.0
1,IRI,5,5,8,0.0,0.0,0.0
1,IRI,18,2,5,0.0,1.0,0.0
1,IRI,22,1,1,0.0,0.0,1.0
1,IRI,22,11,6,0.0,0.0,0.0
1,IRI,2,2,2,0.0,0.0,0.0
1,IRI,17,6,3,0.0,0.0,0.0
1,IRI,8,13,3,0.0,0.0,0.0
1,IRI,17,9,3,0.0,0.0,0.0
1,IRI,22,11,6,1.0,0.0,0.0
1,IRI,22,8,8,0.0,0.0,0.0
1,IRI,18,1,5,0.0,0.0,0.0
1,IRI,1,3,1,0.0,0.0,1.0
1,IRI,17,3,2,0.0,0.0,1.0
1,IRI,18,12,4,0.0,0.0,0.0
1,IRI,17,3,2,0.0,0.0,0.0
1,IRI,8,8,3,0.0,1.0,0.0
1,IRI,18,2,5,0.0,1.0,0.0
1,IRI,2,1,1,0.0,0.0,1.0
1,IRI,18,12,4,0.0,0.0,0.0
1,IRI,2,1,2,0.0,0.0,0.0
1,IRI,22,13,3,0.0,0.0,0.0
1,IRI,18,3,5,0.0,0.0,0.0
1,IRI,18,12,4,0.0,0.0,0.0
1,IRI,2,2,2,0.0,0.0,1.0
1,IRI,18,12,4,1.0,0.0,0.0
1,IRI,8,5,8,0.0,0.0,0.0
1,IRI,18,2,5,0.0,0.0,0.0
1,IRI,1,2,1,1.0,0.0,0.0
1,IRI,8,7,8,0.0,1.0,0.0
1,IRI,18,2,5,0.0,1.0,0.0
1,IRI,17,1,1,0.0,0.0,0.0
1,IRI,18,6,8,0.0,0.0,0.0
1,IRI,8,5,5,0.0,0.0,0.0
1,IRI,1,2,3,0.0,0.0,0.0
